Firm,Year,COVID,ROA,ROE,Growth,Revenue,Total Assets,PAT,ATR,Equity,Nợ phải trả,LEV,Employees,Multi,Firm Type,Spec
VRE,2023,0,0.0925,0.1165,0.3301,9791335,47653731,4408600,0.2055,37826850,9826881,0.260,2224,1,2,0
VRE,2024,0,0.0742,0.0977,-0.0870,8939117,55226155,4095780,0.1619,41922641,13303514,0.317,2480,1,2,0
VRE,2025,0,0.1052,0.1333,-0.0114,8837380,61279149,6445924,0.1442,48368203,12910946,0.267,1762,1,2,0
SCR,2014,0,,,,688460,,,,,,,263,1,0,0
SCR,2015,0,0.0397,0.0654,-0.7692,158898,5006752,198987,0.0317,3043186,1963566,0.645,376,1,0,0
SCR,2016,0,0.0231,0.0532,3.8748,774591,7498402,173515,0.1033,3262394,4236008,1.298,514,1,0,0
SCR,2017,0,0.0239,0.0656,1.3559,1824846,9554061,228692,0.1910,3483673,6070388,1.743,577,1,0,0
SCR,2018,0,0.0198,0.0479,0.6049,2928671,10841383,214579,0.2701,4483980,6357403,1.418,518,1,0,0
SCR,2019,0,0.0252,0.0579,-0.6481,1030491,10884877,274252,0.0947,4737668,6147210,1.298,416,1,0,0
SCR,2020,1,0.0165,0.0386,-0.1090,918155,11413677,188691,0.0804,4891626,6522051,1.333,166,1,0,0
SCR,2021,1,0.0191,0.0372,0.8332,1683184,9797263,187140,0.1718,5032892,4764371,0.947,318,1,0,0
SCR,2022,0,0.0052,0.0099,-0.4693,893255,9691276,50165,0.0922,5068026,4623250,0.912,295,1,0,0
SCR,2023,0,0.0008,0.0017,-0.5844,371202,10631177,8719,0.0349,5125151,5506027,1.074,322,1,0,0
SCR,2024,0,0.0002,0.0005,1.1528,799117,11846891,2937,0.0675,5465196,6381695,1.168,316,1,0,0
SCR,2025,0,0.0059,0.0142,0.5359,1227382,12895731,76330,0.0952,5357322,7538409,1.407,93,1,0,0
ITC,2014,0,,,,453534,,,,,,,94,0,0,1
ITC,2015,0,0.0031,0.0048,-0.5308,212790,2309047,7160,0.0922,1493940,"815,107",0.546,94,0,0,1
ITC,2016,0,0.0087,0.0188,0.3091,278553,3312883,28687,0.0841,1523371,1789511,1.175,85,0,0,1
ITC,2017,0,0.0225,0.0501,1.1507,599074,3522377,79164,0.1701,1578678,1943699,1.231,85,0,0,1
ITC,2018,0,0.0233,0.0513,0.0376,621621,3503819,81718,0.1774,1591660,1912159,1.201,98,0,0,1
ITC,2019,0,0.0283,0.0645,-0.2744,451076,4126360,116722,0.1093,1810676,2315684,1.279,98,0,0,1
ITC,2020,1,0.0321,0.0728,1.0430,921533,4412192,141458,0.2089,1943379,2468813,1.270,98,0,0,1
ITC,2021,1,0.0319,0.0657,-0.2208,718039,4259774,136068,0.1686,2071481,2188292,1.056,96,0,0,1
